table,category,shortDesc,description
bedroomOccupancy,1,b2plus,Occupancy rating of bedrooms: +2 or more
bedroomOccupancy,2,b1,Occupancy rating of bedrooms: +1
bedroomOccupancy,3,b0,Occupancy rating of bedrooms: 0
bedroomOccupancy,4,b-1,Occupancy rating of bedrooms: -1
bedroomOccupancy,5,b2minus,Occupancy rating of bedrooms: -2 or less
rooms,1,r1,1 room
rooms,2,r2,2 rooms
rooms,3,r3,3 rooms
rooms,4,r4,4 rooms
rooms,5,r5,5 rooms
rooms,6,r6,6 rooms
rooms,7,r7,7 rooms
rooms,8,r8,8 rooms
rooms,9,r9plus,9 or more rooms
roomOccupancy,-8,N/A,Does not apply
roomOccupancy,1,r2plus,Occupancy rating of bedrooms: +2 or more
roomOccupancy,2,r1,Occupancy rating of bedrooms: +1
roomOccupancy,3,r0,Occupancy rating of bedrooms: 0
roomOccupancy,4,r-1,Occupancy rating of bedrooms: -1
roomOccupancy,5,r2minus,Occupancy rating of bedrooms: -2 or less
tenure,-8,N/A,Does not apply
tenure,0,own,Owned: Owns outright
tenure,1,mortgage,Owned: Owns with a mortgage or loan
tenure,2,sharedOwn,Shared ownership: Shared ownership
tenure,3,laRent,Social rented: Rents from council or Local Authority
tenure,4,socialRent,Social rented: Other social rented
tenure,5,privateRent,Private rented: Private landlord or letting agency
tenure,6,otherRent,Private rented: Other private rented
tenure,7,freeRent,Lives rent free
secondAddress,1,none,No second address
secondAddress,2,UK,Second address is in the UK
secondAddress,3,overseas,Second address is outside the UK
secondAddressPurpose,-8,N/A,Does not apply
secondAddressPurpose,1,armedForces,Armed forces base address
secondAddressPurpose,2,workAway,Another address when working away from home
secondAddressPurpose,3,holiday,Holiday home
secondAddressPurpose,4,studentTerm,Student's term-time address
secondAddressPurpose,5,studentHome,Student's home address
secondAddressPurpose,6,otherParent,Another parent or guardian's address
secondAddressPurpose,7,partner,Partner's address
secondAddressPurpose,8,other,Other
secondAddressPurpose,9,notSpecified,Second address type not specified
ageArrival,-8,N/A,Does not apply
ageArrival,1,born,Born in the UK
ageArrival,2,0_4,Arrived in the UK: Aged 0 to 4 years
ageArrival,3,5_7,Arrived in the UK: Aged 5 to 7 years
ageArrival,4,8_9,Arrived in the UK: Aged 8 to 9 years
ageArrival,5,10_14,Arrived in the UK: Aged 10 to 14 years
ageArrival,6,15,Arrived in the UK: Aged 15 years
ageArrival,7,16_17,Arrived in the UK: Aged 16 to 17 years
ageArrival,8,18_19,Arrived in the UK: Aged 18 to 19 years
ageArrival,9,20_24,Arrived in the UK: Aged 20 to 24 years
ageArrival,10,25_29,Arrived in the UK: Aged 25 to 29 years
ageArrival,11,30_44,Arrived in the UK: Aged 30 to 44 years
ageArrival,12,45_59,Arrived in the UK: Aged 45 to 59 years
ageArrival,13,60_64,Arrived in the UK: Aged 60 to 64 years
ageArrival,14,65_74,Arrived in the UK: Aged 65 to 74 years
ageArrival,15,75_84,Arrived in the UK: Aged 75 to 84 years
ageArrival,16,85_89,Arrived in the UK: Aged 85 to 89 years
ageArrival,17,90plus,Arrived in the UK: Aged 90 years and over
countryOfBirth,-8,N/A,Does not apply
countryOfBirth,1,England,Europe: United Kingdom: England
countryOfBirth,2,NIreland,Europe: United Kingdom: Northern Ireland
countryOfBirth,3,Scotland,Europe: United Kingdom: Scotland
countryOfBirth,4,Wales,Europe: United Kingdom: Wales
countryOfBirth,5,GB,Europe: United Kingdom: Great Britain not otherwise specified
countryOfBirth,6,UK,Europe: United Kingdom: United Kingdom not otherwise specified
countryOfBirth,7,Ireland,Europe: Other Europe: EU countries: Member countries in March 2001: Ireland
countryOfBirth,8,France,Europe: Other Europe: EU countries: Member countries in March 2001: France
countryOfBirth,9,Germany,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
countryOfBirth,10,Italy,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
countryOfBirth,11,Portugal,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
countryOfBirth,12,Spain,Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands)
countryOfBirth,13,EU2001,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
countryOfBirth,14,Lithuania,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania
countryOfBirth,15,Poland,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland
countryOfBirth,16,Romania,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania
countryOfBirth,17,EU2011,Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries
countryOfBirth,18,Croatia,Europe: Other Europe: EU countries: Countries that joined the EU between April 2011 and March 2021: Croatia
countryOfBirth,19,Turkey,Europe: Other Europe: Rest of Europe: Turkey
countryOfBirth,20,Europe,Europe: Other Europe: Rest of Europe: Other Europe
countryOfBirth,21,NAfrica,Africa: North Africa
countryOfBirth,22,Ghana,Africa: Central and Western Africa: Ghana
countryOfBirth,23,Nigeria,Africa: Central and Western Africa: Nigeria
countryOfBirth,24,CWAfrica,Africa: Central and Western Africa: Other Central and Western Africa
countryOfBirth,25,Kenya,Africa: South and Eastern Africa: Kenya
countryOfBirth,26,Somalia,Africa: South and Eastern Africa: Somalia
countryOfBirth,27,SAfrica,Africa: South and Eastern Africa: South Africa
countryOfBirth,28,Zimbabwe,Africa: South and Eastern Africa: Zimbabwe
countryOfBirth,29,SEAfrica,Africa: South and Eastern Africa: Other South and Eastern Africa
countryOfBirth,30,Africa,Africa: Africa not otherwise specified
countryOfBirth,31,Iran,Middle East and Asia: Middle East: Iran
countryOfBirth,32,Iraq,Middle East and Asia: Middle East: Iraq
countryOfBirth,33,MiddleEast,Middle East and Asia: Middle East: Other Middle East
countryOfBirth,34,China,Middle East and Asia: Eastern Asia: China
countryOfBirth,35,HongKong,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)
countryOfBirth,36,EAsia,Middle East and Asia: Eastern Asia: Other Eastern Asia
countryOfBirth,37,Afghanistan,Middle East and Asia: Southern Asia: Afghanistan
countryOfBirth,38,India,Middle East and Asia: Southern Asia: India
countryOfBirth,39,Pakistan,Middle East and Asia: Southern Asia: Pakistan
countryOfBirth,40,Bangladesh,Middle East and Asia: Southern Asia: Bangladesh
countryOfBirth,41,SriLanka,Middle East and Asia: Southern Asia: Sri Lanka
countryOfBirth,42,SAsia,Middle East and Asia: Southern Asia: Other Southern Asia
countryOfBirth,43,Philippines,Middle East and Asia: South-East Asia: Philippines
countryOfBirth,44,Malaysia,Middle East and Asia: South-East Asia: Malaysia
countryOfBirth,45,Singapore,Middle East and Asia: South-East Asia: Singapore
countryOfBirth,46,SEAsia,Middle East and Asia: South-East Asia: Other South-East Asia
countryOfBirth,47,CAsia,Middle East and Asia: Central Asia
countryOfBirth,48,US,The Americas and the Caribbean: North America: United States
countryOfBirth,49,Canada,The Americas and the Caribbean: North America: Canada
countryOfBirth,50,NAmerica,The Americas and the Caribbean: North America: Other North America
countryOfBirth,51,CAmerica,The Americas and the Caribbean: Central America: All Central American countries
countryOfBirth,52,SAmerica,The Americas and the Caribbean: South America: All South American countries
countryOfBirth,53,Jamacia,The Americas and the Caribbean: The Caribbean: Jamaica
countryOfBirth,54,Caribbean,The Americas and the Caribbean: The Caribbean: Other Caribbean
countryOfBirth,55,Australia,Antarctica and Oceania: Australasia: Australia
countryOfBirth,56,NewZealand,Antarctica and Oceania: Australasia: New Zealand
countryOfBirth,57,Australasia,Antarctica and Oceania: Australasia: Other Australasia
countryOfBirth,58,Oceania,Antarctica and Oceania: Other Oceania and Antarctica
countryOfBirth,59,Other,Other
regionOfBirth,-8,N/A,Does not apply
regionOfBirth,1,UK,Europe: United Kingdom
regionOfBirth,2,EU14,Europe: EU countries: European Union EU14
regionOfBirth,3,EU8,Europe: EU countries: European Union EU8
regionOfBirth,4,EU2,Europe: EU countries: European Union EU2
regionOfBirth,5,EUOther,Europe: EU countries: All other EU countries
regionOfBirth,6,Europe,Europe: Non-EU countries: All other non-EU countries
regionOfBirth,7,Africa,Africa
regionOfBirth,8,Asia,Middle East and Asia
regionOfBirth,9,Americas,The Americas and the Caribbean
regionOfBirth,10,Oceania,Antarctica and Oceania (including Australasia) and Other
regionOfBirth,11,BritishOverseas,British Overseas
residenceLength,-8,N/A,Does not apply
residenceLength,1,born,Born in the UK
residenceLength,2,10plus,10 years or more
residenceLength,3,5_10,5 years or more but less than 10 years
residenceLength,4,2_5,2 years or more but less than 5 years
residenceLength,5,less2,Less than 2 years
migration,-8,N/A,Does not apply
migration,0,sameAddr,Address one year ago is the same as the address of enumeration
migration,1,edAddr,Address one year ago is student term-time or boarding school address in the UK
migration,2,ukAddr,Migrant from within the UK: Address one year ago was in the UK
migration,3,overseasAddr,Migrant from outside the UK: Address one year ago was outside the UK
passportCountry,-8,N/A,Does not apply
passportCountry,1,UK,Europe: United Kingdom
passportCountry,2,Ireland,Europe: Ireland
passportCountry,3,France,Europe: Other Europe: EU Member countries: France
passportCountry,4,Germany,Europe: Other Europe: EU Member countries: Germany
passportCountry,5,Italy,Europe: Other Europe: EU Member countries: Italy
passportCountry,6,Portugal,Europe: Other Europe: EU Member countries: Portugal
passportCountry,7,Spain,Europe: Other Europe: EU Member countries: Spain
passportCountry,8,Lithuania,Europe: Other Europe: EU Member countries: Lithuania
passportCountry,9,Poland,Europe: Other Europe: EU Member countries: Poland
passportCountry,10,Romania,Europe: Other Europe: EU Member countries: Romania
passportCountry,11,EU,Europe: Other Europe: EU Member countries: Other EU countries
passportCountry,12,Turkey,Europe: Other Europe: Rest of Europe: Turkey
passportCountry,13,Europe,Europe: Other Europe: Rest of Europe: Other Europe
passportCountry,14,NAfrica,Africa: North Africa
passportCountry,15,Ghana,Africa: Central and Western Africa: Ghana
passportCountry,16,Nigeria,Africa: Central and Western Africa: Nigeria
passportCountry,17,CWAfrica,Africa: Central and Western Africa: Other Central and Western Africa
passportCountry,18,Kenya,Africa: South and Eastern Africa: Kenya
passportCountry,19,Somalia,Africa: South and Eastern Africa: Somalia
passportCountry,20,SAfrica,Africa: South and Eastern Africa: South Africa
passportCountry,21,Zimbabwe,Africa: South and Eastern Africa: Zimbabwe
passportCountry,22,SEAfrica,Africa: South and Eastern Africa: Other South and Eastern Africa
passportCountry,23,Iran,Middle East and Asia: Middle East: Iran
passportCountry,24,Iraq,Middle East and Asia: Middle East: Iraq
passportCountry,25,MiddleEast,Middle East and Asia: Middle East: Other Middle East
passportCountry,26,China,Middle East and Asia: Eastern Asia: China
passportCountry,27,HongKong,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)
passportCountry,28,Japan,Middle East and Asia: Eastern Asia: Japan
passportCountry,29,EAsia,Middle East and Asia: Eastern Asia: Other Eastern Asia
passportCountry,30,Afghanistan,Middle East and Asia: Southern Asia: Afghanistan
passportCountry,31,Bangladesh,Middle East and Asia: Southern Asia: Bangladesh
passportCountry,32,India,Middle East and Asia: Southern Asia: India
passportCountry,33,Pakistan,Middle East and Asia: Southern Asia: Pakistan
passportCountry,34,SriLanka,Middle East and Asia: Southern Asia: Sri Lanka
passportCountry,35,SAsia,Middle East and Asia: Southern Asia: Other Southern Asia
passportCountry,36,Malaysia,Middle East and Asia: South-East Asia: Malaysia
passportCountry,37,Philippines,Middle East and Asia: South-East Asia: Philippines
passportCountry,38,Singapore,Middle East and Asia: South-East Asia: Singapore
passportCountry,39,SEAsia,Middle East and Asia: South-East Asia: Other South-East Asia
passportCountry,40,CAsia,Middle East and Asia: Central Asia
passportCountry,41,Canada,The Americas and the Caribbean: North America: Canada
passportCountry,42,US,The Americas and the Caribbean: North America: United States
passportCountry,43,CAmerica,The Americas and the Caribbean: Central America
passportCountry,44,SAmerica,The Americas and the Caribbean: South America
passportCountry,45,Jamaica,The Americas and the Caribbean: The Caribbean: Jamaica
passportCountry,46,Caribbean,The Americas and the Caribbean: The Caribbean: Other Caribbean
passportCountry,47,Australia,Antarctica and Oceania: Australasia: Australia
passportCountry,48,NewZealand,Antarctica and Oceania: Australasia: New Zealand
passportCountry,49,Oceania,Antarctica and Oceania: Other Antarctica and Oceania
passportCountry,50,BritishOverseas,British Overseas Territories
passportCountry,51,NoPassport,No passport held
passportRegion,-8,N/A,Does not apply
passportRegion,1,UK,Europe: United Kingdom
passportRegion,2,Ireland,Europe: Ireland
passportRegion,3,France,Europe: Other Europe: EU Member countries: France
passportRegion,4,Germany,Europe: Other Europe: EU Member countries: Germany
passportRegion,5,Italy,Europe: Other Europe: EU Member countries: Italy
passportRegion,6,Portugal,Europe: Other Europe: EU Member countries: Portugal
passportRegion,7,Spain,Europe: Other Europe: EU Member countries: Spain
passportRegion,8,Lithuania,Europe: Other Europe: EU Member countries: Lithuania
passportRegion,9,Poland,Europe: Other Europe: EU Member countries: Poland
passportRegion,10,Romania,Europe: Other Europe: EU Member countries: Romania
passportRegion,11,EU,Europe: Other Europe: EU Member countries: Other EU countries
passportRegion,12,Turkey,Europe: Other Europe: Rest of Europe: Turkey
passportRegion,13,Europe,Europe: Other Europe: Rest of Europe: Other Europe
passportRegion,14,NAfrica,Africa: North Africa
passportRegion,15,CWAfrica,Africa: Central and Western Africa
passportRegion,16,EAfrica,Africa: South and Eastern Africa
passportRegion,17,MiddleEast,Middle East and Asia: Middle East
passportRegion,18,EAsia,Middle East and Asia: Eastern Asia
passportRegion,19,SAsia,Middle East and Asia: Southern Asia
passportRegion,20,SEAsia,Middle East and Asia: South-East Asia
passportRegion,21,CAsia,Middle East and Asia: Central Asia
passportRegion,22,NAmericaCaribbean,The Americas and the Caribbean: North America and the Caribbean
passportRegion,23,CSAmerica,The Americas and the Caribbean: Central and South America
passportRegion,24,Oceania,"Antarctica and Oceania, including Australasia"
passportRegion,25,BritishOverseas,British Overseas Territories
passportRegion,26,NoPassport,No passport held
arrival,-8,N/A,Does not apply
arrival,1,born,Born in the UK
arrival,2,pre1951,Arrived before 1951
arrival,3,1951_1960,Arrived 1951 to 1960
arrival,4,1961_1970,Arrived 1961 to 1970
arrival,5,1971_1980,Arrived 1971 to 1980
arrival,6,1981_1990,Arrived 1981 to 1990
arrival,7,1991_2000,Arrived 1991 to 2000
arrival,8,2001_2010,Arrived 2001 to 2010
arrival,9,2011_2013,Arrived 2011 to 2013
arrival,10,2014_2016,Arrived 2014 to 2016
arrival,11,2017_2019,Arrived 2017 to 2019
arrival,12,2020_2021,Arrived 2020 to 2021
shortTerm,Female,female,female
shortTerm,Male,male,male
hoursWorked,-8,N/A,Does not apply
hoursWorked,1,15less,Part-time: 15 hours or less worked
hoursWorked,2,16_30,Part-time: 16 to 30 hours worked
hoursWorked,3,31_48,Full-time: 31 to 48 hours worked
hoursWorked,4,49plus,Full-time: 49 or more hours worked
econActivity,-8,N/A,Does not apply
econActivity,1,employeePT,Economically active (excluding full-time students): In employment: Employee: Part-time
econActivity,2,employeeFT,Economically active (excluding full-time students): In employment: Employee: Full-time
econActivity,3,selfEmployerPT,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time
econActivity,4,selfEmployerFT,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time
econActivity,5,selfPT,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time
econActivity,6,selfFT,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time
econActivity,7,jobSeeking,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks
econActivity,8,studentEmployeePT,Economically active and a full-time student: In employment: Employee: Part-time
econActivity,9,studentEmployeeFT,Economically active and a full-time student: In employment: Employee: Full-time
econActivity,10,studentSelfEmployerPT,Economically active and a full-time student: In employment: Self-employed with employees: Part-time
econActivity,11,studentSelfEmployerFT,Economically active and a full-time student: In employment: Self-employed with employees: Full-time
econActivity,12,studentSelfPT,Economically active and a full-time student: In employment: Self-employed without employees: Part-time
econActivity,13,studentSelfFT,Economically active and a full-time student: In employment: Self-employed without employees: Full-time
econActivity,14,studentJobSeeking,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks
econActivity,15,retired,Economically inactive: Retired
econActivity,16,student,Economically inactive: Student
econActivity,17,care,Economically Inactive: Looking after home or family
econActivity,18,sick,Economically inactive: Long-term sick or disabled
econActivity,19,otherInactive,Economically inactive: Other
industry,-8,N/A,Does not apply
industry,1,i01,"01 Crop and animal production, hunting and related service activities"
industry,2,i02,02 Forestry and logging
industry,3,i03,03 Fishing and aquaculture
industry,4,i05,05 Mining of coal and lignite
industry,5,i06,06 Extraction of crude petroleum and natural gas
industry,6,i07,07 Mining of metal ores
industry,7,i08,08 Other mining and quarrying
industry,8,i09,09 Mining support service activities
industry,9,i10,10 Manufacture of food products
industry,10,i11,11 Manufacture of beverages
industry,11,i12,12 Manufacture of tobacco products
industry,12,i13,13 Manufacture of textiles
industry,13,i14,14 Manufacture of wearing apparel
industry,14,i15,15 Manufacture of leather and related products
industry,15,i16,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
industry,16,i17,17 Manufacture of paper and paper products
industry,17,i18,18 Printing and reproduction of recorded media
industry,18,i19,19 Manufacture of coke and refined petroleum products
industry,19,i20,20 Manufacture of chemicals and chemical products
industry,20,i21,21 Manufacture of basic pharmaceutical products and pharmaceutical preparations
industry,21,i22,22 Manufacture of rubber and plastic products
industry,22,i23,23 Manufacture of other non-metallic mineral products
industry,23,i24,24 Manufacture of basic metals
industry,24,i25,"25 Manufacture of fabricated metal products, except machinery and equipment"
industry,25,i26,"26 Manufacture of computer, electrical and optical products"
industry,26,i27,27 Manufacture of electrical equipment
industry,27,i28,28 Manufacture of machinery and equipment not otherwise specified
industry,28,i29,"29 Manufacture of motor vehicles, trailers and semi-trailers"
industry,29,i30,30 Manufacture of other transport equipment
industry,30,i31,31 Manufacture of furniture
industry,31,i32,32 Other Manufacturing
industry,32,i33,33 Repair and installation of machinery and equipment
industry,33,i35,"35 Electricity, gas, steam and air conditioning supply"
industry,34,i36,"36 Water collection, treatment and supply"
industry,35,i37,37 Sewerage
industry,36,i38,"38 Waste collection, treatment and disposal activities; materials recovery"
industry,37,i39,39 Remediation activities and other waste management services
industry,38,i41_42_43,41 Construction of buildings; 42 Civil engineering; 43 Specialised construction activities
industry,39,i45,45 Wholesale and retail trade and repair of motor vehicles and motorcycles
industry,40,i46,"46 Wholesale trade, except of motor vehicles and motorcycles"
industry,41,i47,"47 Retail trade, except of motor vehicles and motorcycles"
industry,42,i48,48 Wholesale and retail not otherwise specified
industry,43,i49,49 Land transport and transport via pipelines
industry,44,i50,50 Water transport
industry,45,i51,51 Air transport
industry,46,i52,52 Warehousing and support activities for transportation
industry,47,i53,53 Postal and courier activities
industry,48,i55,55 Accommodation
industry,49,i56,56 Food and beverage service activities
industry,50,i58,58 Publishing activities
industry,51,i59,"59 Motion picture, video and television production, sound recording and music publishing activities"
industry,52,i60,60 Programming and broadcasting activities
industry,53,i61,61 Telecommunications
industry,54,i62,"62 Computer programming, consultancy and related activities"
industry,55,i63,63 Information service activities
industry,56,i64,"64 Financial service activities, except insurance and pension funding"
industry,57,i65,"65 Insurance, reinsurance and pension funding, except compulsory social security"
industry,58,i66,66 Activities auxiliary to financial services and insurance activities
industry,59,i68,68 Real estate activities
industry,60,i69,69 Legal and accounting activities
industry,61,i70,70 Activities of head offices; management consultancy activities
industry,62,i71,71 Architectural and engineering activities; technical testing and analysis
industry,63,i72,72 Scientific research and development
industry,64,i73,73 Advertising and market research
industry,65,i74,"74 Other professional, scientific and technical activities"
industry,66,i75,75 Veterinary activities
industry,67,i77,77 Rental and leasing activities
industry,68,i78,78 Employment activities
industry,69,i79,"79 Travel agency, tour operator and other reservation service and related activities"
industry,70,i80,80 Security and investigation activities
industry,71,i81,81 Services to buildings and landscape activities
industry,72,i82,"82 Office administrative, office support and other business support activities"
industry,73,i84,84 Public administration and defence; compulsory social security
industry,74,i85,85 Education
industry,75,i86,86 Human health activities
industry,76,i87,87 Residential care activities
industry,77,i88,88 Social work activities without accommodation
industry,78,i90,"90 Creative, arts and entertainment activities"
industry,79,i91,"91 Libraries, archives, museums and other cultural activities"
industry,80,i92,92 Gambling and betting activities
industry,81,i93,93 Sports activities and amusement and recreation activities
industry,82,i94,94 Activities of membership organisations
industry,83,i95,95 Repair of computers and personal and household goods
industry,84,i96,96 Other personal service activities
industry,85,i97,97 Activities of households as employers of domestic personnel
industry,86,i98,98 Undifferentiated goods- and services-producing activities of private households for own use
industry,87,i99,99 Activities of extraterritorial organisations and bodies
socioEcon,-8,N/A,Does not apply
socioEcon,1,L1_L2_L3,"L1, L2 and L3: Higher managerial, administrative and professional occupations"
socioEcon,2,L4_L5_L6,"L4, L5 and L6: Lower managerial, administrative and professional occupations"
socioEcon,3,L7,L7: Intermediate occupations
socioEcon,4,L8_L9,L8 and L9: Small employers and own account workers
socioEcon,5,L10_L11,L10 and L11: Lower supervisory and technical occupations
socioEcon,6,L12,L12: Semi-routine occupations
socioEcon,7,L13,L13: Routine occupations
socioEcon,8,L14,L14.1 and L14.2: Never worked and long-term unemployed
socioEcon,9,L15,L15: Full-time students
occupation,-8,N/A,Does not apply
occupation,1,management,"1. Managers, directors and senior officials"
occupation,2,professional,2. Professional occupations
occupation,3,technical,3. Associate professional and technical occupations
occupation,4,admin,4. Administrative and secretarial occupations
occupation,5,skilledTrade,5. Skilled trades occupations
occupation,6,service,"6. Caring, leisure and other service occupations"
occupation,7,sales,7. Sales and customer service occupations
occupation,8,manual,"8. Process, plant and machine operatives"
occupation,9,elementary,9. Elementary occupations
occupationDetailed,-8,N/A,Does not apply
occupationDetailed,1,o111,111 Chief Executives and Senior Officials
occupationDetailed,2,o112,112 Production Managers and Directors
occupationDetailed,3,o113,113 Functional Managers and Directors
occupationDetailed,4,o114,114 Directors in Logistics Warehousing and Transport
occupationDetailed,5,o115,115 Managers and Directors in Retail and Wholesale
occupationDetailed,6,o116,116 Senior Officers in Protective Services
occupationDetailed,7,o117,117 Health and Social Services Managers and Directors
occupationDetailed,8,o121,121 Managers and Proprietors in Agriculture Related Services
occupationDetailed,9,o122,122 Managers and Proprietors in Hospitality and Leisure Services
occupationDetailed,10,o123,123 Managers and Proprietors in Health and Care Services
occupationDetailed,11,o124,124 Managers in Logistics Warehousing and Transport
occupationDetailed,12,o125,125 Managers and Proprietors in Other Services
occupationDetailed,13,o211,211 Natural and Social Science Professionals
occupationDetailed,14,o212,212 Engineering Professionals
occupationDetailed,15,o213,213 Information Technology Professionals
occupationDetailed,16,o214,214 Web and Multimedia Design Professionals
occupationDetailed,17,o215,215 Conservation and Environment Professionals
occupationDetailed,18,o216,216 Research and Development (R&D) and Other Research Professionals
occupationDetailed,19,o221,221 Medical Practitioners
occupationDetailed,20,o222,222 Therapy Professionals
occupationDetailed,21,o223,223 Nursing and Midwifery Professionals
occupationDetailed,22,o224,224 Veterinarians
occupationDetailed,23,o225,225 Other Health Professionals
occupationDetailed,24,o231,231 Teaching and other Educational Professionals
occupationDetailed,25,o232,232 Other Educational Professionals
occupationDetailed,26,o241,241 Legal Professionals
occupationDetailed,27,o242,242 Finance Professionals
occupationDetailed,28,o243,243 Business Research and Administrative Professionals
occupationDetailed,29,o244,244 Business and Financial Project Management Professionals
occupationDetailed,30,o245,245 Architects Chartered Architectural Technologists Planning Officers Surveyors and Construction Professionals
occupationDetailed,31,o246,246 Welfare Professionals
occupationDetailed,32,o247,247 Librarians and Related Professionals
occupationDetailed,33,o248,248 Quality and Regulatory Professionals
occupationDetailed,34,o249,249 Media Professionals
occupationDetailed,35,o311,311 Science Engineering and Production Technicians
occupationDetailed,36,o312,312 CAD Drawing and Architectural Technicians
occupationDetailed,37,o313,313 Information Technology Technicians
occupationDetailed,38,o321,321 Health Associate Professionals
occupationDetailed,39,o322,322 Welfare and Housing Associate Professionals
occupationDetailed,40,o323,323 Teaching and Childcare Associate Professionals
occupationDetailed,41,o324,324 Veterinary nurses
occupationDetailed,42,o331,331 Protective Service Occupations
occupationDetailed,43,o341,341 Artistic Literary and Media Occupations
occupationDetailed,44,o342,342 Design Occupations
occupationDetailed,45,o343,343 Sports and Fitness Occupations
occupationDetailed,46,o351,351 Transport Associate Professionals
occupationDetailed,47,o352,352 Legal Associate Professionals
occupationDetailed,48,o353,353 Finance Associate Professionals
occupationDetailed,49,o354,354 Business Associate Professionals
occupationDetailed,50,o355,355 Sales Marketing and Related Associate Professionals
occupationDetailed,51,o356,356 Public Services Associate Professionals
occupationDetailed,52,o357,357 HR Training and Other Vocational Associate Guidance Professionals
occupationDetailed,53,o358,358 Regulatory Associate Professionals
occupationDetailed,54,o411,411 Administrative Occupations: Government and Related Organisations
occupationDetailed,55,o412,412 Administrative Occupations: Finance
occupationDetailed,56,o413,413 Administrative Occupations: Records
occupationDetailed,57,o414,414 Administrative Occupations: Office Managers and Supervisors
occupationDetailed,58,o415,415 Other Administrative Occupations
occupationDetailed,59,o421,421 Secretarial and Related Occupations
occupationDetailed,60,o511,511 Agricultural and Related Trades
occupationDetailed,61,o521,521 Metal Forming Welding and Related Trades
occupationDetailed,62,o522,522 Metal Machining Fitting and Instrument Making Trades
occupationDetailed,63,o523,523 Vehicle Trades
occupationDetailed,64,o524,524 Electrical and Electronic Trades
occupationDetailed,65,o525,525 Skilled Metal Electrical and Electronic Trades Supervisors
occupationDetailed,66,o531,531 Construction and Building Trades
occupationDetailed,67,o532,532 Building Finishing Trades
occupationDetailed,68,o533,533 Construction and Building Trades Supervisors
occupationDetailed,69,o541,541 Textiles and Garments Trades
occupationDetailed,70,o542,542 Printing Trades
occupationDetailed,71,o543,543 Food Preparation and Hospitality Trades
occupationDetailed,72,o544,544 Other Skilled Trades
occupationDetailed,73,o611,611 Teaching and Childcare Support Occupations
occupationDetailed,74,o612,612 Animal Care and Control Services
occupationDetailed,75,o613,613 Caring Personal Services
occupationDetailed,76,o621,621 Leisure and Travel Services
occupationDetailed,77,o622,622 Hairdressers and Related Services
occupationDetailed,78,o623,623 Housekeeping and Related Services
occupationDetailed,79,o624,624 Cleaning and Housekeeping Managers and Supervisors
occupationDetailed,80,o625,625 Bed and Breakfast and Guest House Owners and Proprietors
occupationDetailed,81,o631,631 Community and Civil Enforcement Occupations
occupationDetailed,82,o711,711 Sales Assistants and Retail Cashiers
occupationDetailed,83,o712,712 Sales Related Occupations
occupationDetailed,84,o713,713 Shopkeepers and Sales Supervisors
occupationDetailed,85,o721,721 Customer Service Occupations
occupationDetailed,86,o722,722 Customer Service Supervisors
occupationDetailed,87,o811,811 Process Operatives
occupationDetailed,88,o812,812 Metal Working Machine Operatives
occupationDetailed,89,o813,813 Plant and Machine Operatives
occupationDetailed,90,o814,814 Assemblers and Routine Operatives
occupationDetailed,91,o815,815 Construction Operatives
occupationDetailed,92,o816,816 Production Factory and Assembly Supervisors
occupationDetailed,93,o821,821 Road Transport Drivers
occupationDetailed,94,o822,822 Mobile Machine Drivers and Operatives
occupationDetailed,95,o823,823 Other Drivers and Transport Operatives
occupationDetailed,96,o911,911 Elementary Agricultural Occupations
occupationDetailed,97,o912,912 Elementary Construction Occupations
occupationDetailed,98,o913,913 Elementary Process Plant Occupations
occupationDetailed,99,o921,921 Elementary Administration Occupations
occupationDetailed,100,o922,922 Elementary Cleaning Occupations
occupationDetailed,101,o923,923 Elementary Security Occupations
occupationDetailed,102,o924,924 Elementary Sales Occupations
occupationDetailed,103,o925,925 Elementary Storage Occupations
occupationDetailed,104,o926,926 Other Elementary Services Occupations
gender,-8,N/A,Does not apply
gender,1,asBirth,Gender identity the same as sex registered at birth
gender,2,trans,Gender identity different from sex registered at birth but no specific identity given
gender,3,transWoman,Trans woman
gender,4,transMan,Trans man
